지점,평가그룹,영업팀,채널,유통,트롬 건조기 수당,통돌이 수당,스타일러 수당,DIOS 수당,일반 김치 기타 수당,청소기 수당,식기세척기 수당,조리기기 수당,TV 수당,사운드바 수당,에어컨 수당,에어케어 수당,정수기 수당,가전수당계,PC 수당,"올레드48""↓ 수당",시네빔 수당,모니터 수당,포터블 수당,톤플러스 수당,pc수당계,지점수당,트롬 건조기 수량,통돌이 수량,스타일러 수량,DIOS 수량,일반 김치 기타 수량,청소기 수량,식기세척기 수량,조리기기 수량,TV 수량,사운드바 수량,에어컨 수량,에어케어 수량,정수기 수량,가전수량계,PC 수량,"올레드48""↓ 수량",시네빔 수량,모니터 수량,포터블 수량,톤플러스 수량,PC수량계,지점수량계
(신)이마트 성서점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"90,000 ","40,000 ","40,000 ",0 ,"15,000 ",0 ,0 ,0 ,"3,000 ",0 ,0 ,0 ,"80,000 ","268,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"268,000 ",4,2,1,0,2,0,0,0,2,0,0,0,1,12,0,0,0,0,0,0,0,12
(신)이마트 E/T비산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"125,000 ",0 ,"40,000 ",0 ,"10,000 ","30,000 ",0 ,0 ,"20,000 ",0 ,0 ,0 ,0 ,"225,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"225,000 ",5,0,1,0,2,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,10
(신)이마트 만촌점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0 ,"40,000 ","50,000 ",0 ,"25,000 ","15,000 ",0 ,0 ,"48,000 ",0 ,0 ,"20,000 ",0 ,"198,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"198,000 ",0,2,2,0,3,1,0,0,3,0,0,2,0,13,0,0,0,0,0,0,0,13
(신)이마트 반야월점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0 ,0 ,0 ,0 ,"5,000 ",0 ,0 ,0 ,"21,500 ","1,800 ",0 ,0 ,0 ,"28,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"28,300 ",0,0,0,0,1,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,4
(신)이마트 영천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(신)이마트 포항점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"30,000 ",0 ,0 ,0 ,"5,000 ","40,000 ",0 ,0 ,"21,500 ",0 ,0 ,0 ,"130,000 ","226,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"226,500 ",1,0,0,0,1,2,0,0,2,0,0,0,2,8,0,0,0,0,0,0,0,8
(신)이마트 경산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"80,000 ",0 ,"40,000 ","10,000 ",0 ,"30,000 ",0 ,0 ,"20,000 ",0 ,0 ,"10,000 ",0 ,"190,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"190,000 ",4,0,1,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,0,0,0,9
(신)이마트 월배점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"30,000 ","10,000 ","40,000 ","30,000 ","10,000 ",0 ,0 ,0 ,"61,500 ",0 ,0 ,0 ,"330,000 ","511,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"511,500 ",1,1,1,1,1,0,0,0,4,0,0,0,5,14,0,0,0,0,0,0,0,14
(신)이마트 이동점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"10,000 ",0 ,"40,000 ",0 ,"5,000 ",0 ,0 ,0 ,"23,000 ",0 ,0 ,0 ,0 ,"78,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"78,000 ",1,0,1,0,1,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,6
(신)이마트 칠성점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0 ,0 ,0 ,0 ,"10,000 ","60,000 ","50,000 ",0 ,"7,500 ","1,800 ",0 ,0 ,"150,000 ","279,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"279,300 ",0,0,0,0,2,2,1,0,1,1,0,0,2,9,0,0,0,0,0,0,0,9
