지점,평가그룹,영업팀,채널,유통,경쟁력 전년누적실판M/S,경쟁력 당월채널실판M/S,경쟁력 당월실판가전+ITM/S,경쟁력 전년누적比,경쟁력 전년누적比점수,경쟁력 전년누적比평점,경쟁력 당월채널比,경쟁력 당월채널比점수,경쟁력 당월채널比평점,경쟁력 당월채널총판M/S,경쟁력 당월총판가전+ITM/S,경쟁력 당월채널比
(신)이마트 천안터미널점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.680283332,0.525000286,0.61241755,-0.067865782,40,6,0.087417264,100,15,0.525000286,0.61241755,0.087417264
신 홈플러스 동청주점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,0.696144641,0.703573138,0.542833714,-0.153310928,40,6,-0.160739424,30,4.5,0.703573138,0.542833714,-0.160739424
(신)이마트 서산점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.576824642,0.525000286,0.520477311,-0.056347331,40,6,-0.004522975,65.47702488,9.821553732,0.525000286,0.520477311,-0.004522975
(신)이마트 청주점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.599179151,0.525000286,0.503810067,-0.095369084,40,6,-0.021190219,48.80978097,7.321467146,0.525000286,0.503810067,-0.021190219
(신)이마트 충주점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.645389711,0.525000286,0.629352365,-0.016037346,51.98132713,7.797199069,0.104352079,100,15,0.525000286,0.629352365,0.104352079
신 홈플러스 천안점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,0.780721575,0.703573138,0.474909046,-0.305812528,40,6,-0.228664092,30,4.5,0.703573138,0.474909046,-0.228664092
(신)이마트 보령점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.653150735,0.525000286,0.548159522,-0.104991214,40,6,0.023159236,93.15923602,13.9738854,0.525000286,0.548159522,0.023159236
신 홈플러스 논산점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,0.637588568,0.703573138,0.681841466,0.044252897,82.12644871,12.31896731,-0.021731672,48.26832776,7.240249164,0.703573138,0.681841466,-0.021731672
신 홈플러스 보령점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,0.903186076,0.703573138,1,0.096813924,평가제외,평가제외,0.296426862,평가제외,평가제외,0.703573138,1,0.296426862
신 홈플러스 오창점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,0.642311906,0.703573138,0.666711447,0.024399541,72.19977059,10.82996559,-0.036861691,30,4.5,0.703573138,0.666711447,-0.036861691
전자랜드 분평점_가전,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,0.551869635,0.520357993,0.448809071,-0.103060564,40,6,-0.071548922,30,4.5,0.577982766,0.621250087,0.04326732
전자랜드 쌍용점_가전,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,0.511645896,0.520357993,0.604061841,0.092415945,100,15,0.083703848,100,15,0.577982766,0.6664584,0.088475634
전자랜드 천안메가마트점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,0.48805236,0.520357993,0.512034989,0.023982629,71.99131453,10.79869718,-0.008323004,61.67699579,9.251549368,0.577982766,0.541290472,-0.036692295
전자랜드 커넥트현대 청주점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,,0.520357993,0.597545815,,평가제외,평가제외,0.077187822,100,30,0.577982766,0.613329425,0.035346659
전자랜드 서산점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,0.547769939,0.520357993,0.459613866,-0.088156074,40,6,-0.060744128,30,4.5,0.577982766,0.527530575,-0.050452191
전자랜드 아산점_가전,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,0.443031408,0.520357993,0.50851571,0.065484303,92.74215132,13.9113227,-0.011842283,58.1577167,8.723657505,0.577982766,0.485614739,-0.092368027
전자랜드 홍성점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,0.424931482,0.520357993,0.430107423,0.005175942,62.58797084,9.388195626,-0.09025057,30,4.5,0.577982766,0.632003804,0.054021038
(신)이마트 과천점,,혼매강남팀,이마트,대형마트,,0.525000286,,,0,0,,0,0,0.525000286,,
(신)이마트 역삼점,,혼매강남팀,이마트,대형마트,0.991331906,0.525000286,,,0,0,,0,0,0.525000286,,
스타필드하남 몰리스샵점,,혼매강남팀,이마트,대형마트,1,0.525000286,,,0,0,,0,0,0.525000286,,
이마트 스타필드시티위례점,,혼매강남팀,이마트,대형마트,,0.525000286,,,0,0,,0,0,0.525000286,,
이마트 일렉트로마트 의왕점,,혼매강남팀,이마트,대형마트,0,0.525000286,,,0,0,,0,0,0.525000286,,
신 홈플러스 안양점,,혼매강남팀,홈플러스,대형마트,0.999866384,0.703573138,,,0,0,,0,0,0.703573138,,
신 홈플러스 안산고잔점,,혼매경기팀,홈플러스,대형마트,0.545145862,0.703573138,,,0,0,,0,0,0.703573138,,
신 홈플러스 안산선부점,,혼매경기팀,홈플러스,대형마트,0.41364197,0.703573138,,,0,0,,0,0,0.703573138,,
신 홈플러스 화성동탄점,,혼매경기팀,홈플러스,대형마트,0.984908494,0.703573138,,,0,0,,0,0,0.703573138,,
(신)이마트 감삼점,,혼매경북팀,이마트,대형마트,,0.525000286,,,0,0,,0,0,0.525000286,,
(신)이마트 안동점,,혼매경북팀,이마트,대형마트,0.001812666,0.525000286,,,0,0,,0,0,0.525000286,,
신 홈플러스 내당점,,혼매경북팀,홈플러스,대형마트,0.638524285,0.703573138,,,0,0,,0,0,0.703573138,,
신 홈플러스 대구스타디움점,,혼매경북팀,홈플러스,대형마트,,0.703573138,,,0,0,,0,0,0.703573138,,
신 홈플러스 동촌점,,혼매경북팀,홈플러스,대형마트,0.693399372,0.703573138,,,0,0,,0,0,0.703573138,,
전자랜드 NC평촌점,,혼매강남팀,전자랜드,양판,0.930112306,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 길동점,,혼매강남팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 반포점,,혼매강남팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 분당본점,,혼매강남팀,전자랜드,양판,0,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 양재하나로마트점,,혼매강남팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 봉담하나로점,,혼매경기팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 서수원점,,혼매경기팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 수원정자점,,혼매경기팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 G7스퀘어점,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 경주점,,혼매경북팀,전자랜드,양판,0.667742445,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 달성하나로마트점,,혼매경북팀,전자랜드,양판,0.37495869,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 송현점,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 수성점_가전,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 영일대점,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 영주점,,혼매경북팀,전자랜드,양판,0.467083195,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 칠곡점_가전,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 형곡우리마트점,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 동아쇼핑점,,혼매경북팀,전자랜드,양판,0.615854685,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드대구탑마트점  무인,,혼매경북팀,전자랜드,양판,,0.520357993,,,0,0,,0,0,0.577982766,,
(신)이마트 펜타포트점,,혼매충청팀(A),이마트,대형마트,0.99589945,0.525000286,,,0,0,,0,0,0.525000286,,
신 홈플러스 천안신방점,,혼매충청팀(A),홈플러스,대형마트,0.5476384,0.703573138,1,0.4523616,0,0,0.296426862,0,0,0.703573138,1,0.296426862
전자랜드 공주점,,혼매충청팀(A),전자랜드,양판,0.566519222,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 내포하나로마트점,,혼매충청팀(A),전자랜드,양판,0.566369754,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 논산점,,혼매충청팀(A),전자랜드,양판,0.564012314,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 보령점,,혼매충청팀(A),전자랜드,양판,0.44864342,0.520357993,,,0,0,,0,0,0.577982766,1,0.422017234
전자랜드 율량점,,혼매충청팀(A),전자랜드,양판,0.567063256,0.520357993,,,0,0,,0,0,0.577982766,,
전자랜드 청주하나로점,,혼매충청팀(A),전자랜드,양판,0.533193186,0.520357993,,,0,0,,0,0,0.577982766,,
