지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감실판,로봇청소기Gross 전년동기실판,로봇청소기Gross 당월실판,로봇청소기Gross 전년동기比,로봇청소기Gross 전년동기比평점,로봇청소기수량 전년마감실판,로봇청소기수량 전년동기실판,로봇청소기수량 목표,로봇청소기수량 당월실판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,로봇청소기수량 목표比평점,로봇청소기 평점,스타일러Gross 전년마감실판,스타일러Gross 전년동기실판,스타일러Gross 당월실판,스타일러Gross 전년동기比,스타일러Gross 전년동기比평점,스타일러수량 전년마감실판,스타일러수량 전년동기실판,스타일러수량 목표,스타일러수량 당월실판,스타일러수량 전년동기比,스타일러수량 목표比,스타일러수량 목표比평점,스타일러 평점,식기세척기Gross 전년마감실판,식기세척기Gross 전년동기실판,식기세척기Gross 당월실판,식기세척기Gross 전년동기比,식기세척기Gross 전년동기比평점,식기세척기수량 전년마감실판,식기세척기수량 전년동기실판,식기세척기수량 목표,식기세척기수량 당월실판,식기세척기수량 전년동기比,식기세척기수량 목표比,식기세척기수량 목표比평점,식기세척기 평점,스탠바이미Gross 전년마감실판,스탠바이미Gross 전년동기실판,스탠바이미Gross 당월실판,스탠바이미Gross 전년동기比,스탠바이미Gross 전년동기比평점,스탠바이미수량 전년마감실판,스탠바이미수량 전년동기실판,스탠바이미수량 목표,스탠바이미수량 당월실판,스탠바이미수량 전년동기比,스탠바이미수량 목표比,스탠바이미수량 목표比평점,스탠바이미 평점,M&B제품계Gross 전년마감실판,M&B제품계Gross 전년동기실판,M&B제품계Gross 당월실판,M&B제품계Gross 전년동기比,M&B제품계수량 전년마감실판,M&B제품계수량 전년동기실판,M&B제품계수량 당월실판,M&B제품계수량 전년동기比,M&B Gross 평점,M&B 수량 평점,M&B 평점
신 홈플러스 안동점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,5.1,5.1,0.0,-100.0%,0.750,3.0,3.0,0.0,0.0,-100.0%,,2.500,3.250,2.9,2.9,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,8.1,8.1,0.9,-88.6%,5.0,5.0,1.0,-80.0%,4.750,10.000,14.750
신 홈플러스 영주점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.7,1.7,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.7,0.7,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,2.4,2.4,0.0,-100.0%,2.0,2.0,0.0,-100.0%,3.000,10.000,13.000
전자랜드 안양비산점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,2.9,1.3,0.0,-100.0%,0.750,3.0,0.0,0.0,0.0,,,2.500,3.250,3.5,0.0,1.8,,2.500,2.0,0.0,0.0,1.0,,,2.500,5.000,2.8,0.0,3.2,,2.500,2.0,0.0,0.0,2.0,,,2.500,5.000,0.8,0.8,1.9,127.2%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,10.0,2.2,7.0,223.3%,8.0,1.0,5.0,400.0%,8.250,10.000,18.250
전자랜드 가든파이브점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.7,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,7.1,4.6,1.9,-57.7%,0.750,5.0,3.0,0.0,1.0,-66.7%,,2.500,3.250,2.5,0.8,1.1,33.8%,1.846,3.0,1.0,0.0,1.0,0.0%,,2.500,4.346,12.1,6.2,3.1,-50.6%,10.0,5.0,2.0,-60.0%,4.096,10.000,14.096
전자랜드 경기광주점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,4.5,0.0,0.0,,0.750,7.0,0.0,0.0,0.0,,,2.500,3.250,4.8,0.0,0.0,,0.750,3.0,0.0,0.0,0.0,,,2.500,3.250,5.0,0.0,0.0,,0.750,4.0,0.0,0.0,0.0,,,2.500,3.250,8.4,1.7,0.0,-100.0%,0.750,10.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,22.8,1.7,0.0,-100.0%,24.0,2.0,0.0,-100.0%,3.000,10.000,13.000
전자랜드 오산점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,0.8,0.0,0.8,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,18.3,9.2,4.1,-55.1%,0.750,11.0,5.0,0.0,2.0,-60.0%,,2.500,3.250,6.4,2.3,0.0,-100.0%,0.750,5.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,8.4,2.5,1.0,-62.1%,0.750,10.0,3.0,0.0,1.0,-66.7%,,2.500,3.250,33.9,14.0,5.9,-58.1%,27.0,9.0,4.0,-55.6%,4.750,10.000,14.750
전자랜드 평택본점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,1.8,0.0,3.6,,2.500,2.0,0.0,0.0,2.0,,,2.500,5.000,2.1,0.6,0.0,-100.0%,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,5.6,1.5,0.0,-100.0%,0.750,4.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.7,0.8,1.9,127.2%,2.500,2.0,1.0,0.0,2.0,100.0%,,2.500,5.000,11.2,3.0,5.5,86.0%,9.0,2.0,4.0,100.0%,6.500,10.000,16.500
전자랜드 발안점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,0.3,-0.1,0.0,-100.0%,0.750,0.0,-1.0,0.0,0.0,-100.0%,,2.500,3.250,1.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,-1.5,-1.5,0.0,-100.0%,0.750,-1.0,-1.0,0.0,0.0,-100.0%,,2.500,3.250,0.8,0.0,1.0,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,1.4,-1.6,1.0,-158.1%,1.0,-2.0,1.0,-150.0%,4.750,10.000,14.750
전자랜드 경산점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,0.0,0.0,0.8,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,1.7,1.7,1.8,4.3%,1.107,1.0,1.0,0.0,1.0,0.0%,,2.500,3.607,3.5,2.8,1.9,-33.4%,0.750,2.0,1.0,0.0,1.0,0.0%,,2.500,3.250,0.0,0.0,1.0,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,5.2,4.5,5.4,19.1%,3.0,2.0,4.0,100.0%,6.857,10.000,16.857
전자랜드 안동점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,2.6,1.3,0.8,-40.3%,0.750,3.0,0.0,0.0,1.0,,,2.500,3.250,3.3,3.3,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,3.1,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,0.8,0.8,1.0,13.6%,1.340,1.0,1.0,0.0,1.0,0.0%,,2.500,3.840,6.7,5.4,4.9,-9.7%,6.0,3.0,4.0,33.3%,5.340,10.000,15.340
